,Result,Text
10,TP,If fan Turkish Middle Eastern music great luck This film documentary current music Istanbul spanning traditional modern Its good You could better went Istanbul yourself We get interviews Orhan Gencebay concert clips modern musical icons road show Romani Gypsy audience Turkish Hip Hop surprisingly good much much more Some best female vocalists Ive ever heard A Kurdish woman singing hamam steam bath rip heart out Lots social political background If thing grand time I could barely sit still theatrebr br CD soundtrack available amazon Pricey
11,TN,OK risky move rent flick I thought I nothing loseWell I wrong This is next Bloodsurf worst horrormovie I ever seen Crappy actors crappy technical output crappy story on The soundtrack though bad That I give 2 vote 1 And course cats positive surprise By far superior actors movie Do rent buy it Stay away hope horrible horrible film vanish obscure existence become cult classic It definitely deserve recognition
12,TN,These days writers directors producers relying surprise ending The old art bringing movie closure taking information learned movie bringing nice complete ending lost Now movie that matter complex detailed frivolous wrapped 5 minutes It hisher head That explanation directors safety net If else fails writing good ran money complete movie always say it hisher head end movie way The audience buy because well none us psychologists none us suffering schizophrenia not know about take story believe it After all mind powerful thing Some movies pulled off But movies reason getting crap endings Every directorwriter thinks pull because well Fight Club made lot money So get movies like The Machinist Secret Window Identity movie just name few
13,FP,Teenager Tamara Jenna Dewan rough Shes ridiculed popular kids shy bookish frumpy interest witchcraft All football players cheerleaders especially angry writing article steroid abuse school paper On top this dads drunk moms around secretly love supportive English teacher Matthew Marsden The popular kids set cruel prank humiliate her accidentally kill struggle bury body woods make pact keep silent To shock next day Tamara walks back classroom looking seductive and uh dressed kill Yep back dead ready supernatural revenge everyone involved She also takes time make sexually abusive pop eat beer bottle tries seduce English teacher away wife Claudette Mink guidance counselor schoolbr br Acting writing strictly mediocre You also tell people responsible seen movies CARRIE 1976 HELLO MARY LOU PROM NIGHT II 1987 THE CRAFT 1996 borrows wholesale three superior films Theres gore a guy cutting ear tongue stabbing eyeball probably best bit nasty vomiting scene campywitty oneliners Not awful film means much originality went either
14,TP,Dirty Harry goes Atlanta Burt called fantastic firstrate detective thriller borrows plot venerable Dana Andrews movie Laura Not Burt Reynolds star superb saga also helmed make single mistake either staging action casting characters Not bad performance movie Reynolds outstanding job directing it Henry Silva truly icy hitmanbr br Detective Tom Sharky Burt Reynolds narcotics case underground Atlanta everything goes wrong He winds chasing suspect shooting gunman bus During melee innocent bystander dies John Woos The Killer replicates scene Anyway Atlanta Police Department busts Burt Vice takes orders new boss Frisco Charles Durning Oh Brother Where Art Thou basement Sharky winds real cesspool crime Sharky fellow detectives Arch Bernie Casey Papa Brian Keith set surveillance highpriced call girl Dominoe Rachel Ward After Dark My Sweetwho luxurious apartment shares another girlbr br Dominoe seeing local politician Hotchkins Earl Holliman Police Woman side campaigning governor chief villain Victor Vittorio Gassman The Dirty Game wants end affair Hotchkins reluctant accommodate Victor Victor cocaine snorting Billy Score Henry Silva Wipeoutterminate Dominoe Billy blasts hole size twelve inch pizza door Dominoes apartment kills herbr br Sharky done unthinkable During surveillance grown fond Dominoe point becomes hopelessly infatuated her Sharkys mission life bust Victor learns Victor informant inside Atlanta Police Department The plot really heats Sharky discovers later Billy shot wrong girl Dominoe still alive Sharky takes protective custody things grow even complicated He assembles Machine title deal Victor hoodsbr br William Frakers widescreen lensing action immaculate Unfortunately vastly underrated classic available fullframe film Fraker definitely contributes atmosphere picture especially mutilation scene boat villains cut one Sharkys fingers This rather gruesome scenebr br Burt never made movie surpassed Sharkys Machine
15,TP,Im 15 usually kids age usually watch old classic movies But one favorites I totally addicted watching first time Its really good u think technology movies back time music great storyline OKchoreography great must see it I know theres prequel movie Not many people like movie love classic love movies theyre much better movies now This movie make smile cry make start dancing The music absolutely ear catching beautiful I seen Dirty Dancing 2 Harvana Nightsprequel prequel star original actors thats hate prequels ruin original No one wants prequel want sequel Many people agree movie original sequel 3rd one enough Beyond that people wont bothered watch it Who remembers movie St Benard Beethoven I think theres 5 movies altogether
16,FP,The story is turnofthecentury troupe actors along producers theatreowners complicated relationships A resident playwright written psychological drama He wants get good production stage cant unless convinces pariticular reviewer revisit production give positive review If production go on troupe put The Doll House recently written Ibsen Many different relationships among principals explored none interesting But involvement characters one another lead giving play resident playwrght second shotbr br This movie purely excuse director friends get together put movie The story lines incoherent anyone buddy one stars The reason I leave theatre half hour fat lady resting full meal atop stomach end row
17,TN,A holiday boat married couple angry waiter shipwreck reason films beginningbr br I like boobs No question that But main character allies whoever happens fish moment mostly sex playing role constant victim anger rises whole new level Take two guys a husband another man put pure bombshell woman middle them ad deserted island subtract moral issues ad whole bunch moral issues men mix big bowl arguments fish zippo lighter come piece junk movie like this br br The acting is I would say good There bloopers many far could see The main female character makes sick This due lack moral values The man fish gets attention Even though one husband sees problem unfaithful Manuel man I must survive How justify sex another man fish husband 30feet away And even benefit it The female character absolutely problems justify anything does If doesent get approval actions victimbr br I recommend everyone see movie This kind movie make everything else see year pleasant movie experience
18,TP,Definitely movie people ask entertained overthink movies br br Lots action lots great dialogue eg fun quote little intrigue stuff blowing place Samuel L Jackson Geena Davis great chemistry Violent gory The fact female part competent action lead pleasant turnaboutbr br Have seen movie dozen times still enjoy enough put back favorite films rotation every 3 4 months I initially rented movie Samuel L Jackson film caught events surrounding Samanthas quest regain memory never looked backbr br All cerebral folks  suspend disbelief once take little less seriously  might actually enjoy yourselves
19,TP,If Hollywood wellbeing audience heart would see 20 films year kind wholesome fortitude behind film There several experiences personal growth movie characters ARE still human even lessons learned greed profit you dountootherswhateveryouwantaslongasyouareokaywithit no sad desensitized lives need sense love dountoothersasyouwouldhavedoneuntoyou HOPE thanks Ursula This movie intelligent wit yo mama cracks run rampant socalled comedies People need feel good This movie make feel good possibly inspire better life lives others sidenote Every person counts ticket sales This truly independent film If want quality films support them
20,TN,I expecting lot film I actually got The acting awful everyone story far impressive It took lot something I even follow going jumpy An example acting Paxtons character Vann upset South Vietnamese colonel throws sand sand map It impossible get idea feeling actions robotic To make things worse I idea Im supposed feel Vann Hes obviously presented protagonist soon gets Vietnam starts affair Vietnamese English teacher The thing movie going particularly boring I give 4 stars 10
21,TN,Coming Kiarostami arthouse visual sound exposition surprise For director known narratives keen observation humans especially children excursion minimalist cinematography begs questions Why it Was keep busy vacation shore br br Five 5 Long Takes consists of guessed it five long takes They the title names times approximate br br Driftwood waves The camera stands nearly still looking small piece driftwood gets moved around small waves splashing beach Ten minutesbr br Watching people boardwalk The camera stands still looking ocean horizon boardwalk People walk across camera frame faces far blurry make interesting Eleven minutesbr br Six dogs waters edge The camera stands still looking ocean horizon sandy stretch beach nearby Far away waters edge six dogs much relaxing Sixteen minutesbr br Ducks line gaggle ducks The camera stands still looking ocean horizon near waters edge Dozen dozen ducks stream single file left right I assume Kiarostami released gradually The last two ducks stop dead track suddenly gaggle ducks rolls quietly right left I assume Kiarostami collected ducks rereleased time It first time deals contrast organized disorganized behavior Eight minutesbr br Frog symphony oops I mean cacophony stormy night The camera stands pond night Its pitch black except appears reflection moon undulating water It stormy night clouds race cover moon The screen goes dark What remains us cacophony frogs howling dogs and eventually morning roosters Hit head done single take I saw segment sound composition put together editing room accompanied simple visualization Twenty seven minutes br br Except mildly amusing ducks exercise minimalism left cold A nonessential film Kiarostami admirersbr br I thought I would rate Five five four deservesbr br The film dedicated Yasujiru Ozu
22,TN,In early 00s production companies shortlived craze supernatural genre movies France The Crimson Rivers Brotherhood Wolf turned hits several movies greenlit saved directtovideo fate However France opposed US UK Italy little tradition fantasy Bmovies turned quickly Samouraïs Bloody Mallory Crimson Rivers sequel illadvised attempts recreating kind magic never existed French cinema first place As flopped producers gone back usual fare derivative farces umpteenth selfreferential tribute French New Wave former critic Les Cahiers du cinémabr br Brocéliande could greenlit short window serves discernible purpose Its bythebook slasher movie mixed vague mythological element horror references find bimboesque female characters French University looking like US campus plot twists lazy even care guessed hour before even movie startedbr br These elements make fun 70s 80s Bmovie expect 70s 80s movie However were 80s anymore nobody warned director Doug Headline tribute slasher movie genre nothing derivative slasher movie Headline rookie writing critic kind pictures since early 80s first time director shows lack skill ambition makes Brocéliande borebr br When put together clichés movie subcategory hand skilled inventive director Wes Craven Quentin Tarantino get Scream Death Proof movies imitations old guilty pleasures also magnify clichés add great deal them Thats called talent thats cant confuse recent movies original inspirations shot decades agobr br Brocéliande takes lazy path reproduces worst elements past movies unfortunately male viewer gratuitous nudity mostly missing There strong similarities presumably unintentional plot Brocéliande reviled Halloween 3 Season Of The Witch deal supernatural Druidic evil rituals silly attempt taking world Halloween night As even plot Halloween 3 makes sense one means something seriously wrong went Brocéliande
23,TP,I happy learn Hari Om finally theatrically released 2007 I saw film three years ago Vancouver International film Festival waiting release ever since I could send everyone I know see it Its like taking trip Indiacolorful magical thought provoking Aside one rather strange Hollywood style auto rickshaw chase scene movie realistic This Bollywood style song dance movie drama romance humor The interactions Indian taxi driver french tourist good reflection fundamental differences Eastern Western life styles philosophy The characters little broadly drawn acting good Visually movie treat really get sense driving Rajasthan likedreamlike Sometimes hard believe everything seeing experiencing realthe movie quality Great soundtrack too
24,TN,The gates Hell opened spit film closed againbr br Watching movie makes appreciate movies I seen like movies Nothing makes sense moviebr br It would really take long mention plot problems In fact except warning really worth wasting nearly infinite space available internet writing filmbr br From on I check IMDb watching filmbr br Hot darn IMDb forcing write film I guess I warn Edison Force I it But chose two pick Edison Force
25,TP,In Love War simple feelgood TVfilm viewed suchbr br Possible spoilerbr br It story WWII British soldier Newby captured commando Italians imprisoned former orphanage As Italians surrender Allies commando freed attempts flee However Germans arrive commando captured again Only Newby injured remains large The rest film recounts hidden protected Partisans survivalbr br End spoilerbr br Based true story In Love War refreshingly straightforward film Half comedy half romance story simple unambiguous The atmosfera warm sunny various stereotypes the desperately unorganized romantic Italians serious sternlooking Germans phlegmatic pragmatic British although unoriginal still humorous Nicola Piovanis musical score also adds Mediterranean flavourbr br Although far Tea With Mussolini La Vita E Bella In Love War sweet simple film put smile maybe even little tan face
26,TN,Not much say plenty Wirefu supposed Sholin monks egotripping Kungfu caricature Japanese plotting take China All would bad utterly fake Japanese sword fighting If watched Samurai movie two tell Japanese fighting movie simply Kungfu Really circus acrobats stunt men things except Japanese sword However couple fun moments Japanese woman Ninja tears clothes midflight disarm monk captures fishing net Storywise seems bit schizophrenia far whether Japanese shown completely despicable could exceptions The Japanese protagonist shown largely honourable beyond unwarranted cruelty murders sedated monk may duel Quite disappointing silly ending Does moment evoke even semblance idea epic battle
27,FN,It could easy complain quality movie you throw cartloads money movie make good guarantee worth watching I think totally missing point If expecting fast cars TA movie spell watch this disappointed dumbfoundedbr br This movie thoroughly enjoyable kept us edge seats made us really think The writer obviously put lot thought research behind movie shows end remember keep open mindbr br Note school scenes filmed McMaster University rest done Toronto
28,TP,I always loved old movies one top ten favoritesit charm 1940s quaintness good old fashioned romance hilarious boot Barbara Stanwick plays independent single woman writes cookinghome life articles famous magazineunder premise married homemaker Even president magazine delusion Enter handsome GI played talented Dennis Morganjust rescued raft along buddy His simple wish stay homey Inn writes eloquently relax famous homecooked meals She frantically find way save job reputationadd fiancé hurry tie knot help The humor superb chemistry leading characters lot fun Throw characteractor nicknamed Cuddles who fits name completely becomes even adorable This become mustsee movie I snuggle cup cocoa Christmas season A wonderful enjoyable movie enjoy Christmastime anytime
29,TP,I absolutely loved movie Great realistic looking combat footage one thing touching genuine story also The calm understated manner lead character Franta makes likable The human relationships story seemed typical possible could expect war time The bond Franta Carel shows loyalty wartime comrades often described books interviews veterans The subtitles detract story actually serve underline problems Czech pilots RAF The postwar storyline great reminder many suffering WW2 end 1945 especially Russian occupied countries The cinematography also good Wish I could seen big screen
30,FP,Intended light entertainment film indeed successful first half succumbs rapidly foundering script drops down Harry Judd Nelson reformed burglar Daphne Gina Gershon aspiring actress employed live window mannequins department store one evening late leaving locked within whereupon witness less protective glass observation point apparent homicide occurring street The ostensible murderer Miles Raymond Nick Mancuso local sculptor returns following day observe mannequins since realizes possible witnesses prior nights violent event and one posing pair flinches fun begins Daphne Harry report observations local police station detective taking crime report remembers Harrys criminal background becomes cynical There great many ways film become hackneyed one manages utilize them including obligatory slow motion bedroom scene passion A low budget affair shot Vancouver even police procedural aspects displayed rote The always capable Gershon tries make something role Mancuso incredibly histrionic bizarrely so attacks lines obvious loose rein Although film sags nonsense cinematographer Glen MacPherson prefers follow suit sets camera lighting splendidly realised compositions viewer may focus upon ignoring plot holes witless dialogue A wellcrafted score appropriately based upon action contributed Hal Beckett The mentioned dialogue initially somewhat fresh delivered well bantering manner Nelson Gershon subsequent context flawed continuity logic predictability takes over The direction reflects lack original ideas point view postproduction flaws set work back farther expected basic thriller
31,TN,This one films cannot justify much anything happens These people going trek young girl wants photograph animals There really Piranhas I guess psychotic hunter guy real piranha Anyway lots animals lots driving There considerable antigun talk know going Toward end theres lots action rape thrown in Somebody must pay do It would nice couple piranhas sort fill thing out There lots monkeys If fast forward dull parts tight little five minutes
32,TP,Its really bad nobody knows movie I think spruced little lowbudget I think one major film companies might wanted take it I first saw movie I 11 I thought powerful many great yet illegal lengths Mitchell goes keep family together It inspired amazes now If lucky enough find copy movie miss it
33,TN,Unlike Terms Endearment Steel Magnolias I left movie theater feeling VERY disappointed I started get characters complex motherdaughter fatherdaughter relationships beginning I even cried But I sympathy characters ending The final act seem line mothers character all So although acting pretty good I thought movie whole disappointing
34,FP,An astronaut Michael Emmet dies returning mission body recovered military The base dead astronaut taken becomes scene bizarre invasion plan outer space Alien embryos inside dead astronaut resurrect corpse begin terrifying assault military staff hopes conquering world according DVD sleeves synopsisbr br A Roger Corman American International production The man fell Earth impregnated Mr Emmet as John Corcoran right Angela Greene pretty conflicted fiancée And Ed Nelson as Dave Randall featured prominently With bigger budget better opening rewrite crisper characterizations could something approaching classic 1950s science fictionbr br  Night Blood Beast 1958 Bernard L Kowalski Roger Corman  Michael Emmet Angela Greene Ed Nelson
35,FN,I recently rented video seeing Final Ascent writer I prepared intense film would get I found engaging start finish rooting teenagers get away attempted crime The ending definitely disturbing implied violence welldone I highly recommend picture
36,FP,Lovely music Beautiful photography scenes breathtaking affecting But dramatic tension lost film poorly edited hard know exactly going on At times dialogue incomprehensible Then Richard Gere Hes supposed factory worker gets trouble gets work farm We see dozens farmhands sweaty dirty hot sun Then see Gere looking like wandered away Calvin Klein ad Sam Shepard another glamour guy supposed terminally ill But looks great Nice try work Brook Adams try hard gets lost sceneryThe real star girl
37,TN,As everyone knows nobody play Scarlett OHara like Vivien Leigh nobody play Rhett Butler like Clark Gable All others pale comparison Timothy Dalton Joanne Whalley exceptions One thing I really get past Joanne BROWN eyes The green eyes enhancing feature Scarletts good looks sequel stripped thosebr br The movie well book several lulls it The new characters memorable I found forgetting who I felt though going Ireland absolutely nothing whatsoever It could Im 11 I saw change attitude last say 10 minutes Rhett told grown up If Rhett told that I would never guessed change attitude She really loved Cat baby She likes child best Rhett loved husband Still read Gone With The Wind would see children make difference Scarletts world br br Quite frankly seemed like way much going without Rhett All anybody cares whether Rhett Scarlett get back together Scarlett took way long get that It virtually nothing compared Gone With The Wind isnt If read novel like better moviebr br I would watch it sequel Gone With The Wind regardless whether worthwhile It may satisfy entirely get way there
38,TN,A sensitive topic15 yo girl abandoned mother baby goes visit her continues ignored raped moms boyfriend becomes pregnant There enough depth displayed situation Too much time taken chase truckers transporting baby Interesting baby asthmayou never see cry except once fed diaper changed whole truck transport ordeal I would liked seen interrelationships focus fact girl minorthis stood court immediatelybr br And true story It deserved better telling thatbr br If subject matter I would given closer 0 rating I rented library Only later I found made TV movie br br oh well
39,TN,This vampires who run around sunlight causing problems South America Casper Van Dien sent team commandos investigate The movie opens Van Dien  Co walking jungle theres huge black guy absolutely positively cannot act He speaks lines hes reading cuecards first time His voice also low that well positively hilarious Great way get movie started Anyhow run vampires shoot this causes appear die 20 seconds course come back life Van Dien notices one impaled across tree limb yells buddies kill wood The stunt work must seen believed  vampires wires pull trees supposed make look like climb really easily makes look like theyre bouncing around bungee cords somethingbr br Yeahanyhow later on huge black dude South America guys Van Dien included theyre attacked vampires Its really bad guys never heard crossbow would seem perfect weapon kill little bloodsuckers with instead use big old wooden stakes try impale vampires hand The big black dude ends getting captured eventually becomes big powerful vampire leader Van Dien ends battling later on It help movie everyone forgets shoot vampire knocked 20 seconds so would enable person stick stake fairly easily They try stick stakes middle handtohand combat Yeah exactly brilliant tacticsbr br Theres hot babe remember Veronica The Lost World TV show Yes her also happens walking around middle Vampire County sort research mission also happens Van Diens exwife Hey odds Its shame movie whole lot is Will Casper get back together end Will Van Dien defeat huge black dude cant act Will circus performer vampires make laugh numerous action scenes Will hear three stooges music somebody something funny Has even Lynda Carter forgotten act small cameo shes convincing Sleep Number Bed commercials These questions answered make way end moviebr br I know might score points bad good scale thats it Eh bunch goofs running around jungle I guess kind entertaining
40,TN,This film bad Its filled glaring plot holes characters ruled stupidity bad acting all poor script done many many films better I feel sorry Donald Sutherland I hope film rather wanted to Miss it
41,TN,This movie bad actually gets funny One worst movies Ive ever seen entire life The funny thing trailer scenes movie Just watching trailer I would saved lot time It actually showed everything happened movie except conclusion also obviousbr br Its honestly hard think reason movie made This bad Horrible br br I would give 0 10 would possible There nothing else say movie
42,TN,Well start describing celluloid debacle You already know big fat NADA passing plot lets jut point PC offensive Hard believe Frank Oz guy gave us laugh riots like Little Shop Horrors Bowfinger made unfunny messbr br So guy know hes gay till actor points out OK sure If anyone ever says Im gay Ill know truth even I currently like girls George Luca likes dollarbr br And know true nature sexuality Well I like classic litterature dancing Barbra Streisand Im gay If I dress like blind man hurry with half shirt hanging out Im straight Oh surebr br And heres big cliché clichés matter look theres always attractive Hollywood actor wholl adore every bit grease skin top model wholl love zero IQ buttugly face pointingout ears If gay common places enough get angry did In real world looks matter folks I know surebr br I see coming say Relax Its comedy Dont take seriously If comedy gives anything carte blanche suck loud I think world serious problem Wouldnt much better and funnier make movie denegate old tiresome clichés instead magnifying againbr br So one absolutely worst movies Ive ever seen 1 10 If giving rating something sexual tendence please let know Im interested
43,TN,I really liked movie The Emporers New Groove watching like coming home seeing wife relations llama Seriously movie bad Its like Club Dread Super Troopers I supposed write 10 lines I even know else say I laughed couple times I drinking A movie like least funny drunk It not Maybe llamas funny regular cartoon people arent Either way stick The Emporers New Groove want funny cartoon llamathemed movie Line 10 line right here
44,TN,This thing directed french sensation Patrick Sebastienis worst turkeys may seen Forget Independence Day Kazaam The patriot etc get picture ones pits Sebastien TV celebrity france if need equivalent lets say hes Jerry Springer IQ 13 first movie lets hope last I hope Troma someone would distribute film States guys excperience French stench worst Lets cut short Masterpiece St
45,TP,I done lot international travel business tourist For types I assure best advice also oldest Always drink wine country In movie archangel Michael comes Earth business wraps quickly decides hang around little touring Boy Does drink wine countrybr br Could man drunk forever liquor love fights br br Hed lief rise mornings lief lie nightsbr br These things cant Heaven enjoys hes here Of course turns couple jobs tackle and less direct first one successful The final scene little schmaltzy also wonderful Jean Stapleton gets dance John Travolta
46,FN,Late night BBC1 way bed curiosity piqued contemporaryset Irish film I stayed watch minutes stayed end I admit main attraction English actress Kelly Reilly stunning look atbr br This billed black comedy one hardest things pull off It perfect blend horror horrible laughs end know laughing  Martin Scorseses After Hours 1985 best example Dead Bodies black comedy plot rattles along spirals towards blackness I spot final twists tale posters I suitably surprisedbr br As snapshot Irish film industry 2003 seems rather worthy look like spent much making chance make money back The script couldve whole lot sharper acting whole pretty good Im glad I watched it flaws all tho I think I learnt much Ireland today especially policing methods
47,TP,Absolute grabber movie given age years ahead time I first saw week dad came home neighbors TV guy thrown scrap heap A tinkerer things electrical dad working inside two days This July 1955and probably third house street HAVE television Pretty much first thing ever saw grainy flickering old 12inch screen THIS film Its pretty OLD dear I recall mom telling mebr br Almost 50 years on seem older  rather like World War I respect Terrific little fantasy London omnibus carrying thirteen passengers crashes killing one number Then flashback pick lives people brought bus daybr br Returning crash end film victims identity revealed perhaps inspiration behind 1960 movie THE LIST OF ADRIAN MESSENGERbr br If ever come across little gem I suggest watch it
48,TP,I saw Le Conseguenze DellAmore 2005 Rotterdam Filmfestival It first ten films I saw therebr br Le Conseguenze left powerful impression ten films From first shot know movie going something special The beautiful cinematography left awe done camera The music also par visuals complementing colorful stylish architecturelike imagesbr br Toni Servillo plays main character film Titta Hes tax expert gone wrong lives hotel Every week brings suitcase money bank story plays around thisbr br He always controlled shows almost emotion anyone Looks calculated welldressed He habit ignoring people significance him For example Sofia played nicely Olivia Magnani works barmaid hotel lives Although working hotel two years never greets her even greet him On one day confronts next day sits bar instead usual spot window From story really begins unfold strong tale love sacrifice mafiabr br I spoil rest film See film love stylish movies like ones David Lynch The Godfather etc Dont see actionbuff
49,TN,A good action thriller unsuccessfully trends water early Steven Seagal films good set piece Steven Seagal plays kind character played since Above Law In opinion performance Keenen Ivory Wayans wasted average film belongs much better film Bob Gunton okay main heavy The best acting entire film belongs Brian Cox frightening role murderer My favorite scenes fight scenes Russian mafia One film reasons see The Glimmer Man1996 brief appearence beautiful voluptupus Nikki Cox Its bad scenes them
50,TP,Fantastic Chaplin movie many memorable moments Charlie joins army fight WW 1br br At first goes boot camp learn handle rifle walk line Thats really funny scene tramp used keeping feet straightbr br Next thing know hes France trench Hilarious scenes include starving Charlie eating cheese mousetrap reading letter home someones shoulderbr br When Charlie goes sleep finds bunker flooded roommate snoring This funny part I cant really describe it watch movie When Charlie wakes legs feel numb tries wake up It rolling floor turns second leg still feels numb Charlie actually rubs roommates footbr br The movie turns bit grim Charlie shoots couple Germans trench although done funny way personating tree get close enemy saving friend death squadbr br Last part getting french girl trouble hiding house He save captures german kaiser well To impersonates german kolonel something I love Charlie asked something german hes like nein nein nein The soldier looks funny way Charlie changes mind ja ja ja The kaiser gets captured Charlie hero wakes bootcamp sweet dreambr br Charlie one dreamsequences The Bank comes mind cares movie funny laughing way Chaplin also something say movie as later work became social comment several mishaps world explained best last sentence movie Peace earth good mankindbr br In short Charlie classic funny timeless 910
51,TP,It typical people complaining something nothing itSo gay man falling straight women First allThis true story cant say believable Second written gay man whole thing gays plain stupid Personally I think best love story Ive ever seen And I pro gay I think shows real love personality looks sex And nothing anyone gay straight bi unlike many shows Maybe Europe take cus TV bit deeper make think American TVPlus fear comes showing certain thingsbr br If want something funny one Englands best Lesley Sharp want see decent believable love story without much sap you I know I love
52,FP,This series takes classic story makes rubbish it Robin somehow mystified elkman forest embroiled sorts druidism outright satanic episodes The story avoiding evil sheriff helping poor This barely watchable And top ridiculousness kill Robin end series 2 replace another actor Some people may like show fantasy show NOT Robin Hood show If want Robin fighting king Richards name Prince John sheriff want Robin feeding poor oppressed watch classic series newest BBC
53,TP,Theres good running bit price tag silk negligee The bimbo office shows bargain got 22 closeup tag Later Mary Astor finds tag bosss bedroom proof bimbo slept him Still later Mary Astor affair Ricardo Cortez looks price tag HER silk negligee 14 reminded disgusted bimbo well fact spent 8 less most obvious woman ever met It sounds obvious morality turn well done The film would stronger Robert Ames character played powerful actor hes lowkey selfmade salesman spends film face turned away camera Ricardo Cortez given smile ironically Both male leads bland forgettable hindered pancake male makeup popular films era However Mary Astor character interesting appealing believable Behind Closed Doors well worth seeing
54,FN,I especially liked ending movieI really felt characters must felt I think mark good directing I tickled new hire record store turned outgreat character development there even though role would probably considered minorbr br I also impressed entire film dark subject matter free gratuitous nudity profanity violence Sadness sexuality darkness communicated often better left unsaid seems often unique really classy films actors Kudos filmmaker that
55,TP,I remember seeing film mid 80s thought well paced well acted piece I work quite often Berkeley Square get copy DVD remind little area changed although office newish 30 seconds away the bank Even Jack Barclays car dealership still selling Bentleys Rolls Roycesbr br Its look like DVD due Region 2 release soon The region 1 copy I poor quality Lets hope theyve cleaned upbr br Only slightly dodgy escape sequence court spoils would otherwise great film I guess line caper tag film goes with
56,TN,I able last ten minutes terrible film In age DV cameras looks shot VHS without aid color correction microphonebr br As filmmaker myself I know constraints indy filmmaking and even keeping things mind Im amazed films made poorlybr br The praise I offer film got distribution Ive seen considerably better films still seeking modest domestic international release Im guessing box sold itit good box art goes downhill therebr br Side note It seems director 11 friends since one planet would give film 10
